ESTADOS,CASOS
EL MIRADOR II,10232
TAQUECITOS,10233
SANTO DOMINGO,10234
TORCA RURAL I,10235
GUAYMARAL,10236
BAVARIA,10237
CHARLES DE GAULLE,10238
CAPITOLIO,10239
LAGUNITAS,10240
CHORRERAS,10241
LAS VEGAS,10242
EL MOCHUELO III,10243
EL TOLDO,10244
SAN ANTONIO,10245
CONCEPCION NORTE,10246
EL PORVENIR DE LOS SOCHES,10247
ACEVEDO TEJADA,10248
EL MOCHUELO ORIENTAL,10249
CHUCUA DE LA VACA III,10250
CANAVERALEJO RURAL,10251
EL PORTAL DEL BRASIL,10252
CIUDADELA EL RECREO II,10253
LA INDEPENDENCIA,10254
MARLY,10255
SIERRA MORENA,10256
LA ARBOLEDA RURAL,10257
EL CORZO RURAL,10258
VILLA MARIA,10259
SANTA HELENA,10260
LA URIBE,10261
ATENAS,10262
VICTORIA NORTE,10263
LAS MARGARITAS,10264
MOCHUELO ALTO,10265
EL MOCHUELO II,10266
SAN JOSE,10267
NUEVA GRANADA,10268
CONCEPCION,10269
CASA BLANCA SUR,10270
ALTOS DE SUBA,10271
LA SOLEDAD NORTE,10272
SAN MARTIN,10273
SAN JOSE SUR,10274
NARINO SUR,10275
QUIBA RURAL,10276
SAN VICTORINO,10277
SAN PABLO BOSA,10278
LA GAITANA,10279
LA CABANA,10280
EL BOSQUE,10281
LUSITANIA,10282
PATIO BONITO,10283
BOSQUES DE SAN JORGE,10284
SERRANIAS,10285
VILLA MARIA I,10286
ANTONIO JOSE DE SUCRE,10287
RICAURTE,10288
SAN RAFAEL,10289
LA ESTANCIA,10290
LA ESPERANZA,10291
INGLES,10292
LA HUERTA,10293
REMANSO,10294
EL MIRADOR DE LA ESTANCIA,10295
PARAMO II,10296
LA LIBERIA,10297
TIBAQUE II,10298
EL MADRIGAL,10299
SANTA BARBARA ORIENTAL,10300
EL DANUBIO AZUL,10301
OSPINA PEREZ SUR,10302
DESARROLLO BRAZUELOS I,10303
OLAYA,10304
TORCA II,10305
TORCA RURAL II,10306
ARBORIZADORA ALTA,10307
EL TINTAL IV,10308
PUERTA DEL SOL,10309
CAMPIN OCCIDENTAL,10310
ROMA,10311
CONEJERA,10312
EL REFUGIO I,10313
GUADUAL FONTIBON,10314
JUAN XXIII,10315
EL RETIRO,10316
ACACIAS USAQUEN,10317
TTES DE COLOMBIA,10318
RINCON DEL CHICO,10319
ATAHUALPA,10320
TUNAL ALTO,10321
EL LISTON,10322
BARAJAS NORTE,10323
GORGONZOLA,10324
CENTRO USME RURAL I,10325
SANTA BARBARA OCCIDENTAL,10326
MODELIA,10327
DUITAMA,10328
ANTONIA SANTOS,10329
QUIRIGUA II,10330
SOTAVENTO,10331
BOITA,10332
PRIMAVERA OCCIDENTAL,10333
AUTOPISTA MUZU ORIENTAL,10334
CLARET,10335
RINCON DE GALICIA,10336
SANTA LIBRADA NORTE,10337
CHAPINERO NORTE,10338
SAN MIGUEL,10339
