ESTADOS,CASOS
EL PROGRESO USME,11008
PUERTA AL LLANO RURAL,11009
SAN BERNARDINO XIX,11010
CENTRO USME RURAL,11011
MONTEBELLO,11012
MORALBA,11013
ISMAEL PERDOMO,11014
LAS BRISAS,11015
SAN LUIS ALTOS DEL CABO,11016
BATAN,11017
VERONA,11018
BOLIVIA,11019
CEMENTERIO JARDINES APOGEO,11020
DANUBIO,11021
CHICO NORTE II SECTOR,11022
EL REAL,11023
TERMINAL DE TRANSPORTES,11024
EL PEDREGAL II,11025
LA CITA,11026
SALITRE OCCIDENTAL,11027
RAFAEL URIBE,11028
LA TRINIDAD,11029
LA FISCALA NORTE,11030
TIBABUYES II,11031
EL TESORO,11032
POTOSI,11033
ALTOS DE CHOZICA,11034
CAMPIN,11035
CIUDADELA COLSUBSIDIO,11036
COMUNEROS,11037
ARBORIZADORA BAJA,11038
TIMIZA B,11039
LAS ACACIAS RURAL,11040
EL GACO,11041
CIUDAD BOLIVAR RURAL III,11042
SAN FELIPE DE USME,11043
LOS ALPES,11044
EL CEDRO,11045
EL TRIANGULO,11046
VENECIA,11047
ESCUELA MILITAR,11048
GRANADA SUR,11049
VENECIA OCCIDENTAL,11050
ESCUELA GENERAL SANTANDER,11051
SANTA ANA,11052
EL RUBI,11053
LA REQUILINA,11054
SANTA CECILIA,11055
TIBAQUE I,11056
EL REFUGIO I,11057
SAN VICENTE FERRER,11058
EGIPTO,11059
ESPARTILLAL,11060
EL NOGAL,11061
CALVO SUR,11062
EL BOSQUE CENTRAL,11063
JIMENEZ DE QUESADA,11064
TUNAL ORIENTAL,11065
GINEBRA,11066
LA ORQUIDEA DE USME,11067
NIZA SUR,11068
LA ANDREA,11069
OSORIO X URBANO,11070
SAN CRISTOBAL NORTE,11071
ESTRELLA DEL NORTE,11072
EL BOSQUE SUR ORIENTAL RURAL II,11073
TIBABUYES,11074
EL NUEVO PORTAL,11075
CHIGUAZA RURAL,11076
EL DORADO,11077
LA ESTRADA,11078
SANTA CECILIA,11079
SANTA ROSA BAJA,11080
LA PRIMAVERA I,11081
EL PINAR,11082
MONTES,11083
SAN ANTONIO DEL MIRADOR,11084
AUTOPISTA SUR,11085
SAN CAYETANO,11086
CHICO SUR,11087
LA CAROLINA DE SUBA,11088
ARBOLEDA SANTA TERESITA,11089
SAN JOSE DEL PRADO,11090
PARQUE POPULAR SALITRE,11091
USATAMA,11092
ESTRELLA,11093
MOCHUELO ALTO URBANO,11094
MADELENA,11095
MODELO SUR,11096
LA HORTUA,11097
LOS ARRAYANES,11098
TIMIZA C,11099
PERDOMO ALTO,11100
JORGE GAITAN CORTES,11101
LA ESTRADITA,11102
BOCHICA,11103
EL PENON DEL CORTIJO,11104
CLASS,11105
BELEN,11106
PARAMO URBANO I,11107
ENGATIVA EL DORADO,11108
JUAN JOSE RONDON I,11109
MONACO,11110
SANTA TERESA DE SUBA,11111
EDUARDO FREY,11112
CEDRITOS DEL SUR,11113
NUEVO MUZU,11114
LA VALVANERA,11115
PRIMAVERA,11116
BELLA SUIZA,11117
LA CABANA FONTIBON,11118
BOSQUE DE LOS ALPES,11119
GUADALUPE,11120
EL RETAZO,11121
PROVIVIENDA,11122
CIUDAD JARDIN NORTE,11123
EL CEDRO,11124
VILLA ALCAZAR,11125
BOLIVIA ORIENTAL,11126
SANTA ROSA,11127
JOSE JOAQUIN VARGAS,11128
QUINTA PAREDES,11129
EL EJIDO,11130
LOS ALAMOS,11131
JUAN REY (LA PAZ),11132
PARAMO III RURAL,11133
MARANDU,11134
LAGUNITAS URBANO,11135
MUZU,11136
BOLONIA,11137
GUACAMAYAS III,11138
LA BELLEZA,11139
EL PARAISO,11140
ALMIRANTE COLON,11141
LOS TRES REYES,11142
CENTRAL DE MEZCLAS,11143
PRIMAVERA II,11144
JUAN JOSE RONDON,11145
SAN DIEGO-BOSA,11146
CIUDAD BOLIVAR,11147
SAN FRANCISCO,11148
MARIA CRISTINA,11149
CHIGUAZA URBANO,11150
IBERIA,11151
LOS CEREZOS,11152
VILLA LUZ,11153
SIBERIA,11154
NORMANDIA OCCIDENTAL,11155
LA SERENA,11156
LA GRANJA,11157
NIZA SUBA,11158
SIBERIA  II,11159
FLORIDA BLANCA,11160
