code,localidad
3776,San Cristóbal
3783,Antonio Nariño
3789,Engativá
3796,Rafael Uribe
3811,Bosa
3825,None
3826,None
3827,None
3836,Antonio Nariño
3837,Antonio Nariño
3842,Antonio Nariño
3853,Antonio Nariño
3854,San Cristóbal
3857,Antonio Nariño
2508,Usaquén
2521,None
2524,Fontibón
2527,Chapinero
2529,Los Mártires
2543,Chapinero
2545,Chapinero
2548,Chapinero
2559,Fontibón
2568,Puente Aranda
2576,Engativá
2578,Santa Fe
2582,San Cristóbal
2583,Chapinero
2605,Fontibón
2614,Barrios Unidos
2621,San Cristóbal
2626,Engativá
2627,San Cristóbal
2636,Engativá
2646,Engativá
2654,Engativá
2680,None
2691,Engativá
2695,Fontibón
2698,San Cristóbal
2700,San Cristóbal
2704,San Cristóbal
2705,San Cristóbal
2745,Engativá
2746,None
2747,None
2765,Chapinero
2768,Chapinero
2782,Engativá
2784,Engativá
2812,Chapinero
2823,Tunjuelito
2860,Fontibón
2862,Teusaquillo
2915,Engativá
2925,Kennedy
2926,Engativá
2937,San Cristóbal
2952,Chapinero
2964,Chapinero
2968,Bosa
2970,Chapinero
2988,Chapinero
2997,None
1754,Bosa
1760,Bosa
1790,Bosa
1795,Bosa
1796,Bosa
1802,None
1803,Bosa
1815,Bosa
1868,Bosa
1897,Bosa
1903,Bosa
1920,Bosa
1932,Bosa
1935,Bosa
1939,Bosa
2012,None
2032,None
2072,None
2091,None
2108,None
2139,None
2149,None
2157,None
2185,None
2192,None
2197,None
2213,None
20,Fontibón
2224,Rafael Uribe
2231,None
2235,None
2255,None
2258,None
2265,None
2269,None
2284,None
42,Usaquén
43,Engativá
50,Fontibón
60,San Cristóbal
71,Teusaquillo
78,Puente Aranda
79,Engativá
82,Kennedy
84,Kennedy
85,Kennedy
92,Rafael Uribe
104,San Cristóbal
109,None
125,Tunjuelito
127,Kennedy
136,Kennedy
146,None
155,Engativá
157,Engativá
159,Engativá
160,Engativá
168,San Cristóbal
185,Bosa
196,Engativá
197,Fontibón
203,Santa Fe
227,Kennedy
236,Bosa
251,Fontibón
263,None
276,Bosa
281,Bosa
290,None
293,None
304,None
310,None
311,San Cristóbal
335,Los Mártires
371,San Cristóbal
373,Engativá
384,Engativá
402,San Cristóbal
404,San Cristóbal
405,San Cristóbal
415,San Cristóbal
436,San Cristóbal
438,San Cristóbal
471,Santa Fe
483,None
501,Fontibón
510,Fontibón
548,None
553,Engativá
563,Engativá
571,None
572,Engativá
598,Rafael Uribe
611,None
612,Rafael Uribe
3008,Rafael Uribe
3015,Engativá
3062,San Cristóbal
3064,San Cristóbal
3065,San Cristóbal
3068,Barrios Unidos
3076,San Cristóbal
3079,Rafael Uribe
3089,Engativá
3093,Usaquén
3114,San Cristóbal
3116,Engativá
3121,San Cristóbal
3133,Usaquén
3136,Usaquén
3153,Usaquén
3168,Fontibón
3170,Fontibón
3186,Rafael Uribe
3221,San Cristóbal
3243,Puente Aranda
3261,San Cristóbal
3279,Fontibón
3282,Engativá
3290,None
3295,Barrios Unidos
3380,Rafael Uribe
3386,None
3387,None
3403,Fontibón
3407,None
3408,Fontibón
3409,Kennedy
3412,Puente Aranda
3413,Puente Aranda
3415,Puente Aranda
3419,Rafael Uribe
3428,Rafael Uribe
3433,Puente Aranda
3441,Usaquén
3451,None
3464,Fontibón
3479,None
3486,Engativá
3494,Rafael Uribe
3518,Engativá
3529,None
3532,None
3536,None
3548,None
3554,None
3565,None
3570,None
3577,None
3581,None
3582,None
3601,None
3612,San Cristóbal
3629,Barrios Unidos
3653,San Cristóbal
3662,Chapinero
3670,None
3702,San Cristóbal
3710,Usaquén
3731,Bosa
3755,None
3756,None
3777,None
3821,Bosa
3823,Bosa
3839,Engativá
3840,Rafael Uribe
3859,Antonio Nariño
1474,None
1609,Bosa
1632,Bosa
1645,Bosa
1647,None
1648,Bosa
1661,Bosa
1674,Bosa
1682,Bosa
1690,Bosa
2289,None
2295,None
2301,None
2315,None
2339,None
2377,None
2378,None
2392,None
2435,San Cristóbal
2459,Usaquén
2519,Usaquén
2523,Tunjuelito
2535,Barrios Unidos
2544,Chapinero
2547,Chapinero
2555,Puente Aranda
2573,Engativá
2609,Barrios Unidos
2611,Barrios Unidos
2622,None
2624,San Cristóbal
2657,Engativá
2660,Tunjuelito
2661,Tunjuelito
2690,Engativá
2694,Fontibón
2712,Chapinero
2742,Engativá
2744,Engativá
2766,Chapinero
2783,Engativá
2790,Teusaquillo
2805,Chapinero
2811,Chapinero
2816,None
2818,Chapinero
2834,Fontibón
2842,Rafael Uribe
2851,None
2856,Fontibón
2857,Fontibón
2859,Fontibón
2865,Teusaquillo
